WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 404 : reward 200.0, steps 200
WARNING:root:train episode 405 : reward 200.0, steps 200
WARNING:root:train episode 406 : reward 200.0, steps 200
WARNING:root:train episode 407 : reward 200.0, steps 200
WARNING:root:train episode 408 : reward 200.0, steps 200
WARNING:root:train episode 409 : reward 200.0, steps 200
WARNING:root:train episode 410 : reward 153.0, steps 153
WARNING:root:train episode 411 : reward 200.0, steps 200
WARNING:root:train episode 412 : reward 200.0, steps 200
WARNING:root:train episode 413 : reward 200.0, steps 200
WARNING:root:train episode 414 : reward 200.0, steps 200
WARNING:root:train episode 415 : reward 200.0, steps 200
WARNING:root:train episode 416 : reward 200.0, steps 200
WARNING:root:train episode 417 : reward 200.0, steps 200
WARNING:root:train episode 418 : reward 200.0, steps 200
WARNING:root:train episode 419 : reward 200.0, steps 200
WARNING:root:train episode 420 : reward 195.0, steps 195
WARNING:root:train episode 421 : reward 200.0, steps 200
WARNING:root:train episode 422 : reward 190.0, steps 190
WARNING:root:train episode 423 : reward 200.0, steps 200
WARNING:root:train episode 424 : reward 200.0, steps 200
WARNING:root:train episode 425 : reward 200.0, steps 200
WARNING:root:train episode 426 : reward 156.0, steps 156
WARNING:root:train episode 427 : reward 200.0, steps 200
WARNING:root:train episode 428 : reward 183.0, steps 183
WARNING:root:train episode 429 : reward 200.0, steps 200
WARNING:root:train episode 430 : reward 187.0, steps 187
WARNING:root:train episode 431 : reward 158.0, steps 158
WARNING:root:train episode 432 : reward 200.0, steps 200
WARNING:root:train episode 433 : reward 200.0, steps 200
WARNING:root:train episode 434 : reward 186.0, steps 186
WARNING:root:train episode 435 : reward 200.0, steps 200
WARNING:root:train episode 436 : reward 200.0, steps 200
WARNING:root:train episode 437 : reward 180.0, steps 180
WARNING:root:train episode 438 : reward 154.0, steps 154
WARNING:root:train episode 439 : reward 111.0, steps 111
WARNING:root:train episode 440 : reward 148.0, steps 148
